Product_ID,Barcode_EAN13,Product_Name,Category,Brand,Price_INR,Quantity,Stock_Quantity,Manufacturer,Supplier,Expiry_Date,Manufacture_Date,MRP
91,8900000000091,Spices - Unilever 70g,Ghee & Oils,Pepsi,1725,200g,67,Mfg_10,Supplier_G,2025-08-30,2024-03-31,2070
92,8900000000092,Juice - Lakme 650ml,Beauty & Cosmetics,Cadbury,312,250ml,186,Mfg_11,Supplier_A,2025-08-31,2024-04-01,374
93,8900000000093,Milk - Colgate 400g,Instant Noodles,Bombay,648,250g,59,Mfg_12,Supplier_B,2025-09-01,2024-04-02,777
94,8900000000094,Bread - Lay's 70g,Snacks,Hennessy,65,250g,119,Mfg_13,Supplier_C,2025-09-02,2024-04-03,78
95,8900000000095,Candy - Bagpiper 250g,Juices & Drinks,Cadbury,735,100g,172,Mfg_14,Supplier_A,2025-09-03,2024-04-04,882
96,8900000000096,Water - Hennessy 25 Bags,Beauty & Cosmetics,Patanjali,535,5kg,147,Mfg_15,Supplier_I,2025-09-04,2024-04-05,642
97,8900000000097,Jam - Britannia 150g,Chocolates & Candy,Himalaya,483,150g,153,Mfg_16,Supplier_H,2025-09-05,2024-04-06,579
98,8900000000098,Candy - Godrej 50ml,Beauty & Cosmetics,Bisleri,37,5kg,179,Mfg_17,Supplier_B,2025-09-06,2024-04-07,44
99,8900000000099,Cereal - Lakme 400g,Health & Honey,Nestlé,2135,200ml,57,Mfg_18,Supplier_I,2025-09-07,2024-04-08,2562
100,8900000000100,Gin - Maggi 137g,Laundry & Cleaning,Bagpiper,374,50ml,141,Mfg_19,Supplier_G,2025-09-08,2024-04-09,448
101,8900000000101,Detergent - Colgate 2kg,Personal Care,Britannia,535,500g,184,Mfg_20,Supplier_I,2025-09-09,2024-04-10,642
102,8900000000102,Dal - Dabur 100g,Juices & Drinks,Lipton,1345,750ml,61,Mfg_21,Supplier_F,2025-09-10,2024-04-11,1614
103,8900000000103,Butter - Fanta 600g,Juices & Drinks,Rémy Martin,892,250g,121,Mfg_22,Supplier_F,2025-09-11,2024-04-12,1070
104,8900000000104,Shampoo - Rémy Martin 1kg,Bread & Bakery,Nestlé,1040,137g,158,Mfg_23,Supplier_D,2025-09-12,2024-04-13,1248
105,8900000000105,Bread - Colgate 200g,Soft Drinks,Lakme,1036,500g,173,Mfg_24,Supplier_J,2025-09-13,2024-04-14,1243
106,8900000000106,Soap - Rémy Martin 100g,Health & Honey,ITC,1656,500g,39,Mfg_25,Supplier_J,2025-09-14,2024-04-15,1987
107,8900000000107,Beer - Lakme 500g,Skin Care,Bisleri,928,40g,67,Mfg_26,Supplier_B,2025-09-15,2024-04-16,1113
108,8900000000108,Spreads - Tata 250g,Chocolates & Candy,Dove,2420,750ml,29,Mfg_27,Supplier_G,2025-09-16,2024-04-17,2904
109,8900000000109,Honey - Bombay 750ml,Meat Alternatives,Haldiram,1784,4 pack,94,Mfg_28,Supplier_E,2025-09-17,2024-04-18,2140
110,8900000000110,Crisps - Patanjali 50ml,Alcoholic Beverages,Sprite,1541,400g,79,Mfg_29,Supplier_F,2025-09-18,2024-04-19,1849
111,8900000000111,Oats - Budweiser 5L,Juices & Drinks,Diageo,1916,10oz,42,Mfg_30,Supplier_B,2025-09-19,2024-04-20,2299
112,8900000000112,Wine - Patanjali 100g,Tea & Coffee,Bagpiper,1225,500ml,134,Mfg_31,Supplier_E,2025-09-20,2024-04-21,1470
113,8900000000113,Soap - Dove 600g,Snacks,Fanta,1664,100ml,139,Mfg_32,Supplier_J,2025-09-21,2024-04-22,1996
114,8900000000114,Gin - Unilever 25 Bags,Personal Care,Absolut,494,10oz,166,Mfg_33,Supplier_D,2025-09-22,2024-04-23,592
115,8900000000115,Water - Garnier 150g,Alcoholic Beverages,Cadbury,2085,25 Bags,95,Mfg_34,Supplier_I,2025-09-23,2024-04-24,2502
116,8900000000116,Dal - Lay's 750ml,Snacks,Lakme,723,5kg,21,Mfg_35,Supplier_F,2025-09-24,2024-04-25,867
117,8900000000117,Juice - Dove 1L,Personal Care,Revlon,1072,5kg,132,Mfg_36,Supplier_B,2025-09-25,2024-04-26,1286
118,8900000000118,Shampoo - Kingfisher 200g,Breakfast Drinks,Patanjali,1986,2kg,175,Mfg_37,Supplier_A,2025-09-26,2024-04-27,2383
119,8900000000119,Energy Drink - Britannia 4 pack,Jams & Spreads,ITC,1306,5kg,191,Mfg_38,Supplier_E,2025-09-27,2024-04-28,1567
120,8900000000120,Honey - Lay's 100g,Bread & Bakery,Sprite,1264,750ml,112,Mfg_39,Supplier_I,2025-09-28,2024-04-29,1516
121,8900000000121,Tea - Ferrero 100ml,Alcoholic Beverages,Himalaya,2143,40g,183,Mfg_0,Supplier_F,2025-09-29,2024-04-30,2571
122,8900000000122,Cola - Patanjali 25 Bags,Frozen Foods,Bombay,135,1kg,186,Mfg_1,Supplier_J,2025-09-30,2024-05-01,162
123,8900000000123,Water - Budweiser 500ml,Cooking Bases,Dabur,546,100g,156,Mfg_2,Supplier_G,2025-10-01,2024-05-02,655
124,8900000000124,Chips - Saffola 500ml,Soft Drinks,Nestlé,2202,600g,29,Mfg_3,Supplier_E,2025-10-02,2024-05-03,2642
125,8900000000125,Detergent - ITC 5kg,Hair Care,Garnier,2082,1L,184,Mfg_4,Supplier_J,2025-10-03,2024-05-04,2498
126,8900000000126,Spices - Maggi 250ml,Instant Noodles,Nestlé,1613,100g,92,Mfg_5,Supplier_F,2025-10-04,2024-05-05,1935
127,8900000000127,Toothpaste - Everest 200g,Laundry & Cleaning,Horlicks,76,10oz,165,Mfg_6,Supplier_E,2025-10-05,2024-05-06,91
128,8900000000128,Rice - Dove 600g,Snacks,Unilever,242,5L,181,Mfg_7,Supplier_I,2025-10-06,2024-05-07,290
129,8900000000129,Shampoo - Bagpiper 4 pack,Health & Honey,Kingfisher,2166,100g,33,Mfg_8,Supplier_F,2025-10-07,2024-05-08,2599
130,8900000000130,Shampoo - Fanta 5L,Bread & Bakery,Parle,1179,1L,67,Mfg_9,Supplier_H,2025-10-08,2024-05-09,1414
131,8900000000131,Ice Cream - Himalaya 1L,Meat Alternatives,Parle,2168,600g,154,Mfg_10,Supplier_B,2025-10-09,2024-05-10,2601
132,8900000000132,Oats - Lakme 5kg,Hair Care,Lipton,2285,200g,158,Mfg_11,Supplier_I,2025-10-10,2024-05-11,2742
133,8900000000133,Cookies - Ferrero 400g,Tea & Coffee,Lipton,120,750ml,160,Mfg_12,Supplier_E,2025-10-11,2024-05-12,144
134,8900000000134,Crisps - Dove 70g,Hair Care,Coca-Cola,1503,137g,118,Mfg_13,Supplier_G,2025-10-12,2024-05-13,1803
135,8900000000135,Vodka - Patanjali 600g,Beauty & Cosmetics,Dabur,2091,5kg,53,Mfg_14,Supplier_J,2025-10-13,2024-05-14,2509
136,8900000000136,Biscuits - Godrej 500ml,Soft Drinks,Sprite,632,5kg,85,Mfg_15,Supplier_A,2025-10-14,2024-05-15,758
137,8900000000137,Ice Cream - Rémy Martin 40g,Health & Honey,Maggi,2482,40g,88,Mfg_16,Supplier_J,2025-10-15,2024-05-16,2978
138,8900000000138,Honey - Coca-Cola 4 pack,Breakfast Drinks,Dettol,1551,2kg,109,Mfg_17,Supplier_E,2025-10-16,2024-05-17,1861
139,8900000000139,Cola - Parle 4 pack,Chocolates & Candy,ITC,1315,40g,181,Mfg_18,Supplier_J,2025-10-17,2024-05-18,1578
140,8900000000140,Toothpaste - Dettol 250ml,Hair Care,Cadbury,1771,1kg,152,Mfg_19,Supplier_B,2025-10-18,2024-05-19,2125
141,8900000000141,Wheat Atta - ITC 1L,Disinfectants,Tata,1985,1kg,122,Mfg_20,Supplier_F,2025-10-19,2024-05-20,2382
142,8900000000142,Chocolate - Dove 150g,Frozen Foods,ITC,2372,250g,90,Mfg_21,Supplier_A,2025-10-20,2024-05-21,2846
143,8900000000143,Water - Lay's 500ml,Breakfast Drinks,Lay's,886,2kg,67,Mfg_22,Supplier_C,2025-10-21,2024-05-22,1063
144,8900000000144,Wheat Atta - Godrej 2kg,Jams & Spreads,Dove,1999,40g,193,Mfg_23,Supplier_E,2025-10-22,2024-05-23,2398
145,8900000000145,Cookies - Fanta 600g,Frozen Foods,Revlon,1322,5kg,108,Mfg_24,Supplier_D,2025-10-23,2024-05-24,1586
146,8900000000146,Dal - Mondelēz 4 pack,Instant Noodles,Bombay,1470,100ml,53,Mfg_25,Supplier_C,2025-10-24,2024-05-25,1764
147,8900000000147,Spices - Parle 150g,Laundry & Cleaning,Garnier,2334,70g,75,Mfg_26,Supplier_J,2025-10-25,2024-05-26,2800
148,8900000000148,Whisky - Maggi 500g,Beauty & Cosmetics,Colgate,1743,1L,5,Mfg_27,Supplier_E,2025-10-26,2024-05-27,2091
149,8900000000149,Vodka - Nestlé 250ml,Soap & Bath,Ferrero,1615,1L,145,Mfg_28,Supplier_H,2025-10-27,2024-05-28,1938
150,8900000000150,Spices - Diageo 4 pack,Soap & Bath,Diageo,1536,100g,183,Mfg_29,Supplier_D,2025-10-28,2024-05-29,1843
